|Timestamp|Key|Action
942|2021-11-24 20:09:39,278|Key.space|release
943|2021-11-24 20:09:39,910|'l'|press
944|2021-11-24 20:09:40,011|'l'|release
945|2021-11-24 20:09:40,062|'e'|press
946|2021-11-24 20:09:40,158|'a'|press
947|2021-11-24 20:09:40,184|'e'|release
948|2021-11-24 20:09:40,282|'a'|release
949|2021-11-24 20:09:40,338|'v'|press
950|2021-11-24 20:09:40,428|'e'|press
951|2021-11-24 20:09:40,461|'v'|release
952|2021-11-24 20:09:40,553|'e'|release
953|2021-11-24 20:09:40,877|Key.space|press
954|2021-11-24 20:09:40,999|Key.space|release
955|2021-11-24 20:09:41,262|'t'|press
956|2021-11-24 20:09:41,328|'h'|press
957|2021-11-24 20:09:41,370|'t'|release
958|2021-11-24 20:09:41,424|'h'|release
959|2021-11-24 20:09:41,465|'i'|press
960|2021-11-24 20:09:41,557|'i'|release
961|2021-11-24 20:09:41,584|'s'|press
962|2021-11-24 20:09:41,682|Key.space|press
963|2021-11-24 20:09:41,691|'s'|release
964|2021-11-24 20:09:41,768|Key.space|release
965|2021-11-24 20:09:42,030|'t'|press
966|2021-11-24 20:09:42,165|'t'|release
967|2021-11-24 20:09:42,169|'h'|press
968|2021-11-24 20:09:42,261|'h'|release
969|2021-11-24 20:09:42,632|Key.backspace|press
970|2021-11-24 20:09:42,712|Key.backspace|release
971|2021-11-24 20:09:42,825|'o'|press
972|2021-11-24 20:09:42,875|Key.space|press
973|2021-11-24 20:09:42,928|'o'|release
974|2021-11-24 20:09:42,987|Key.space|release
975|2021-11-24 20:09:43,917|'h'|press
976|2021-11-24 20:09:44,009|'h'|release
977|2021-11-24 20:09:44,085|'e'|press
978|2021-11-24 20:09:44,143|'r'|press
979|2021-11-24 20:09:44,201|'e'|release
980|2021-11-24 20:09:44,282|'r'|release
981|2021-11-24 20:09:44,809|Key.shift_r|press
982|2021-11-24 20:09:44,872|'.'|press
983|2021-11-24 20:09:45,003|'.'|release
984|2021-11-24 20:09:45,568|Key.shift_r|release
985|2021-11-24 20:09:45,790|Key.space|press
986|2021-11-24 20:09:45,870|Key.space|release
987|2021-11-24 20:09:45,991|Key.shift_r|press
988|2021-11-24 20:09:46,252|'S'|press
989|2021-11-24 20:09:46,347|Key.shift_r|release
990|2021-11-24 20:09:46,355|'s'|release
991|2021-11-24 20:09:46,560|'h'|press
992|2021-11-24 20:09:46,644|'h'|release
993|2021-11-24 20:09:46,667|'e'|press
994|2021-11-24 20:09:46,751|Key.space|press
995|2021-11-24 20:09:46,768|'e'|release
996|2021-11-24 20:09:46,830|Key.space|release
997|2021-11-24 20:09:47,255|'o'|press
998|2021-11-24 20:09:47,325|'o'|release
999|2021-11-24 20:09:47,485|'b'|press
1000|2021-11-24 20:09:47,580|'b'|release
1001|2021-11-24 20:09:47,982|'v'|press
1002|2021-11-24 20:09:48,086|'v'|release
1003|2021-11-24 20:09:48,112|'i'|press
1004|2021-11-24 20:09:48,197|'i'|release
